Date,open,high,low,close,volume,pct_chg,swing,turn,BIAS,RSI,DMA
2000/10/11,1944.248,1948.014,1931.462,1933.726,725288900,-0.4337,0.8523,1.0415,1.4132,56.6556,11.3559
2000/10/12,1933.143,1933.329,1918.466,1926.324,722605600,-0.3828,0.7686,1.054,0.9244,52.2012,16.8611
2000/10/13,1927.354,1932.318,1911.357,1918.157,664271900,-0.424,1.0881,0.985,0.3589,47.2795,15.843
2000/10/16,1917.446,1917.555,1897.906,1902.809,608503600,-0.8001,1.0244,0.8549,-0.5841,38.9896,10.645
2000/10/17,1902.073,1909.49,1896.945,1909.49,417493600,0.3511,0.6593,0.6437,-0.3478,44.1087,1.9471
2000/10/18,1911.705,1922.852,1911.705,1922.845,575503200,0.6994,0.5838,0.9291,0.3033,53.4731,-1.105
2000/10/19,1925.214,1927.366,1911.182,1913.42,596505800,-0.4902,0.8417,0.7892,-0.3138,46.8285,-6.0989
2000/10/20,1913.162,1947.469,1912.378,1947.455,938766100,1.7788,1.8339,1.2069,1.2626,65.4385,-3.9687
2000/10/23,1952.956,1960.86,1945.674,1958.938,857797400,0.5896,0.7798,1.2801,1.6294,69.7281,2.8983
2000/10/24,1960.366,1962.13,1945.527,1956.344,635728300,-0.1324,0.8476,0.955,1.4201,67.4585,10.8496
2000/10/25,1957.378,1978.992,1957.313,1977.254,1150654400,1.0688,1.1081,1.4592,2.2733,75.2509,17.3786
2000/10/26,1979.296,1980.626,1962.2,1967.673,1065276400,-0.4846,0.9319,1.214,1.5605,66.4957,24.0943
2000/10/27,1968.171,1971.785,1957.744,1967.405,903711100,-0.0136,0.7136,1.0506,1.2892,66.237,23.1595
2000/10/30,1967.653,1974.241,1962.812,1973.578,993944900,0.3138,0.5809,1.2478,1.2382,69.5149,19.0106
2000/10/31,1974.527,1979.994,1956.417,1961.287,909042200,-0.6228,1.1946,1.0896,0.3411,56.4259,14.8195
2000/11/1,1961.081,1977.373,1959.721,1977.363,850194000,0.8197,0.9,1.0253,0.8822,66.3658,9.3895
2000/11/2,1981.765,1992.857,1980.887,1984.26,893385100,0.3488,0.6054,1.1537,0.8695,69.9007,5.6229
2000/11/3,1984.986,1989.106,1977.21,1981.631,932081800,-0.1325,0.5995,0.9643,0.5611,66.6945,5.0505
2000/11/6,1983.073,1992.879,1982.751,1991.173,999681900,0.4815,0.5111,1.1311,0.8803,72.2402,5.346
2000/11/7,1993.454,1997.077,1990.059,1997.077,789874700,0.2965,0.3525,0.9138,0.9711,75.2946,8.4307
2000/11/8,1999.153,2012.988,1998.345,2012.908,925427200,0.7927,0.7332,1.0749,1.5884,81.7543,11.9743
2000/11/9,2016.22,2032.518,2014.838,2032.482,1405162800,0.9724,0.8783,1.6036,2.2418,86.8542,15.1378
2000/11/10,2037.084,2051.341,2033.627,2047.458,1396590000,0.7368,0.8715,1.9374,2.5821,89.5388,20.2979
2000/11/13,2054.479,2071.689,2053.44,2070.788,1440877700,1.1395,0.8913,1.9001,3.2481,92.4291,26.4999
2000/11/14,2072.793,2085.118,2055.212,2085.118,1244877700,0.692,1.4442,1.7941,3.3246,93.71,31.725
2000/11/15,2087.277,2092.65,2074.377,2081.905,1333426700,-0.1541,0.8764,1.7793,2.6337,89.6299,35.0702
2000/11/16,2081.139,2096.048,2080.608,2095.984,1282182000,0.6763,0.7416,1.8146,2.7618,91.5618,36.5982
2000/11/17,2098.888,2104.699,2084.899,2093.235,1180132600,-0.1312,0.9447,1.691,2.0686,87.7323,34.5932
2000/11/20,2092.591,2101.398,2078.277,2101.389,1310295900,0.3895,1.1046,1.7176,1.9184,89.3219,29.6918
2000/11/21,2104.068,2112.912,2095.582,2097.982,1247971900,-0.1621,0.8247,1.5242,1.2576,83.8727,22.1741
2000/11/22,2097.281,2113.348,2091.624,2113.303,1214670700,0.7303,1.0355,1.4603,1.5052,87.867,18.4142
2000/11/23,2119.156,2125.724,2109.219,2119.439,1249207700,0.2904,0.781,1.7711,1.3765,89.1576,14.4095
2000/11/24,2119.01,2125.406,2045.514,2053.37,1649756100,-3.1173,3.7695,2.0885,-1.8114,37.5496,5.8453
2000/11/27,2041.155,2062.806,2031.931,2049.671,1058782600,-0.1801,1.5036,1.3957,-1.8892,36.144,-2.3866
2000/11/28,2052.776,2079.479,2052.776,2079.396,858896600,1.4502,1.3028,1.1472,-0.4391,53.0807,-5.5316
2000/11/29,2081.496,2082.901,2055.939,2067.495,994362900,-0.5723,1.2966,1.2454,-0.9406,47.0812,-13.2522
2000/11/30,2067.07,2072.291,2057.041,2070.613,846555000,0.1508,0.7376,1.1008,-0.6705,48.8971,-20.4803
2000/12/1,2073.089,2082.028,2071.495,2081.843,1228528600,0.5424,0.5087,1.0622,-0.0771,55.4973,-13.6465
2000/12/4,2084.484,2092.323,2077.809,2092.139,1422885000,0.4946,0.6972,1.1754,0.4616,61.0342,-4.2279
2000/12/5,2094.994,2097.289,2085.8,2091.67,1389586400,-0.0224,0.5492,1.0734,0.4696,60.622,-1.1419
